Date,Day of Week,Weather,Breakfast Dish,Breakfast Quantity Made (kg),Breakfast Quantity Consumed (kg),Breakfast Quantity Wasted (kg),Dish1_Name,Dish1_Quantity_Made (kg),Dish1_Quantity_Consumed (kg),Dish1_Quantity_Wasted (kg),Dish2_Name,Dish2_Quantity_Made (kg),Dish2_Quantity_Consumed (kg),Dish2_Quantity_Wasted (kg),Dish3_Name,Dish3_Quantity_Made (kg),Dish3_Quantity_Consumed (kg),Dish3_Quantity_Wasted (kg),Staples1,Staples1_Quantity_Made (kg),Staples1_Quantity_Consumed (kg),Staples1_Quantity_Wasted (kg),Dessert,Expected Diners,Avg Portion (kg),Satisfaction Score,Historical_Trend,Seasonal_Preference,Preferred Dish,Meal Type,Lunch/Dinner Expected Diners,Avg Portion Lunch/Dinner (kg),Quantity Made Lunch/Dinner (kg),Adjusted Quantity Made Lunch/Dinner (kg),Quantity Consumed Lunch/Dinner (kg),Quantity Wasted Lunch/Dinner (kg),Calories (per serving),Nutrient Value (Protein/Fiber),Preference for Dish1,Preference for Dish2,Food Cost (INR),Surplus Redistribution Potential,Notes for the Day,Total Food Waste (kg),Output
1990-05-06,Saturday,Rainy,Naan,22.11,19.54,1.79,Rajma,24.81,24.14,0.16,Paratha,19.11,20.03,0.48,Rajma,25.78,16.25,3.79,Dosa,94.45,48.46,5.65,Jalebi,377,0.48,5,Low,Low,Pav Bhaji,Breakfast,340,0.23,68.19,125.82,109.82,8.85,413,17g/9g,High,Medium,1756,High,Perfect meal balance,11.14,Rajma: 24.14 kg; Paratha: 20.03 kg; Rajma: 16.25 kg; Dosa: 48.46 kg; Jalebi: 377.00 kg
1991-06-25,Wednesday,Rainy,Dosa,32.92,38.24,0.76,Gulab Jamun,20.78,15.06,0.61,Idli,20.27,24.55,2.97,Chole,27.7,12.25,4.91,Idli,73.73,50.04,8.71,Pav Bhaji,459,0.42,2,Medium,Medium,Dal Tadka,Lunch,495,0.48,55.63,92.3,69.51,8.42,299,19g/3g,High,High,1122,Low,Perfect meal balance,24.32,Gulab Jamun: 15.06 kg; Idli: 24.55 kg; Chole: 12.25 kg; Idli: 50.04 kg; Pav Bhaji: 459.00 kg
1998-12-01,Sunday,Cloudy,Aloo Gobi,28.31,6.24,3.87,Dal Tadka,17.18,22.96,4.42,Dosa,18.7,21.1,0.76,Aloo Gobi,10.87,16.22,3.99,Roti,55.81,40.71,4.55,Roti,426,0.49,3,High,Low,Gulab Jamun,Dinner,270,0.36,68.82,59.16,119.71,1.51,466,7g/10g,Low,Low,2163,Medium,Less intake today,8.81,Dal Tadka: 22.96 kg; Dosa: 21.10 kg; Aloo Gobi: 16.22 kg; Roti: 40.71 kg; Roti: 426.00 kg
1989-01-25,Saturday,Rainy,Chole,30.47,5.06,3.32,Roti,17.38,19.24,3.7,Paratha,14.1,20.18,2.96,Jalebi,28.12,24.7,2.74,Paratha,72.88,75.79,9.09,Kheer,375,0.48,3,Low,Low,Rajma,Lunch,101,0.31,131.53,116.86,121.97,5.93,319,10g/10g,Medium,High,2047,High,Less intake today,19.23,Roti: 19.24 kg; Paratha: 20.18 kg; Jalebi: 24.70 kg; Paratha: 75.79 kg; Kheer: 375.00 kg
2016-06-21,Sunday,Sunny,Dal Tadka,44.07,7.19,2.44,Aloo Gobi,19.96,22.34,0.04,Jalebi,18.57,24.49,3.26,Aloo Gobi,28.53,15.37,0.8,Naan,50.32,63.83,1.65,Paratha,221,0.39,5,Medium,High,Paratha,Lunch,465,0.44,119.65,101.45,65.06,5.5,397,19g/15g,High,Medium,1856,High,Perfect meal balance,24.31,Aloo Gobi: 22.34 kg; Jalebi: 24.49 kg; Aloo Gobi: 15.37 kg; Naan: 63.83 kg; Paratha: 221.00 kg
2000-08-15,Friday,Sunny,Kheer,49.68,39.17,2.86,Dosa,10.19,22.93,3.32,Paratha,28.61,15.42,0.96,Gulab Jamun,14.4,14.99,2.51,Baingan Bharta,68.16,57.6,8.89,Pav Bhaji,125,0.24,3,High,High,Dal Tadka,Lunch,358,0.49,54.71,96.21,62.36,6.18,224,14g/12g,Low,Medium,1623,Medium,Large intake today,6.58,Dosa: 22.93 kg; Paratha: 15.42 kg; Gulab Jamun: 14.99 kg; Baingan Bharta: 57.60 kg; Pav Bhaji: 125.00 kg
2007-04-16,Monday,Cloudy,Dal Tadka,35.03,40.63,0.33,Aloo Gobi,12.41,13.15,0.23,Idli,23.14,20.61,4.98,Naan,24.95,22.46,2.97,Baingan Bharta,95.31,54.64,6.57,Jalebi,474,0.22,1,Low,Medium,Roti,Breakfast,383,0.5,111.9,147.07,125.02,2.56,135,14g/13g,Medium,Low,1286,Medium,Perfect meal balance,15.55,Aloo Gobi: 13.15 kg; Idli: 20.61 kg; Naan: 22.46 kg; Baingan Bharta: 54.64 kg; Jalebi: 474.00 kg
1994-05-01,Monday,Cloudy,Aloo Gobi,48.41,30.1,3.31,Baingan Bharta,29.77,19.19,4.61,Dal Tadka,18.27,22.83,1.98,Dosa,18.5,21.58,0.0,Rajma,86.76,47.71,6.28,Roti,270,0.36,4,High,Low,Chole,Breakfast,490,0.45,145.33,148.5,49.38,8.29,424,11g/8g,High,Medium,1608,High,Less intake today,8.59,Baingan Bharta: 19.19 kg; Dal Tadka: 22.83 kg; Dosa: 21.58 kg; Rajma: 47.71 kg; Roti: 270.00 kg
1982-07-21,Tuesday,Sunny,Chole,11.4,44.3,1.51,Baingan Bharta,20.29,18.76,2.51,Naan,23.72,9.44,1.23,Idli,17.36,19.02,4.49,Aloo Gobi,58.7,52.44,0.3,Kheer,136,0.42,3,Low,High,Jalebi,Lunch,389,0.2,146.51,61.95,72.44,9.7,282,19g/13g,High,Medium,2706,Medium,Large intake today,17.08,Baingan Bharta: 18.76 kg; Naan: 9.44 kg; Idli: 19.02 kg; Aloo Gobi: 52.44 kg; Kheer: 136.00 kg
1976-01-30,Monday,Rainy,Roti,33.03,17.62,1.3,Baingan Bharta,25.45,8.22,4.83,Jalebi,12.31,19.68,3.83,Idli,15.93,23.3,2.89,Dosa,50.35,63.16,8.52,Rajma,142,0.22,2,High,Low,Pav Bhaji,Dinner,133,0.38,78.41,51.4,72.44,5.24,472,5g/10g,Low,High,2085,Medium,Less intake today,11.25,Baingan Bharta: 8.22 kg; Jalebi: 19.68 kg; Idli: 23.30 kg; Dosa: 63.16 kg; Rajma: 142.00 kg
2022-12-26,Saturday,Cloudy,Dal Tadka,47.89,25.21,4.86,Dal Tadka,27.31,21.27,3.33,Pav Bhaji,24.6,24.86,0.03,Dosa,24.93,10.08,4.8,Dal Tadka,90.62,56.06,6.79,Idli,445,0.34,3,Low,Medium,Pav Bhaji,Dinner,473,0.46,55.87,53.79,108.14,3.47,497,5g/4g,Medium,High,1851,Low,Large intake today,20.31,Dal Tadka: 21.27 kg; Pav Bhaji: 24.86 kg; Dosa: 10.08 kg; Dal Tadka: 56.06 kg; Idli: 445.00 kg
2006-12-25,Saturday,Rainy,Paratha,43.99,20.23,2.29,Jalebi,19.84,10.45,3.34,Paneer Butter Masala,17.21,21.37,2.44,Dosa,14.6,11.74,3.93,Pav Bhaji,78.69,86.73,7.27,Aloo Gobi,267,0.26,1,Low,High,Baingan Bharta,Breakfast,384,0.37,90.74,86.07,103.67,1.15,304,8g/12g,Low,High,1949,Low,Large intake today,17.17,Jalebi: 10.45 kg; Paneer Butter Masala: 21.37 kg; Dosa: 11.74 kg; Pav Bhaji: 86.73 kg; Aloo Gobi: 267.00 kg
2011-11-12,Friday,Sunny,Chole,36.96,31.71,0.2,Baingan Bharta,10.41,12.24,2.08,Baingan Bharta,15.84,12.1,2.33,Gulab Jamun,11.73,16.93,1.81,Gulab Jamun,93.69,50.74,5.55,Roti,317,0.25,4,Low,High,Roti,Breakfast,384,0.26,109.33,71.62,99.89,0.25,357,14g/3g,High,Medium,2200,Low,Perfect meal balance,13.68,Baingan Bharta: 12.24 kg; Baingan Bharta: 12.10 kg; Gulab Jamun: 16.93 kg; Gulab Jamun: 50.74 kg; Roti: 317.00 kg
2006-03-16,Monday,Sunny,Gulab Jamun,37.37,15.76,3.11,Dal Tadka,13.4,18.34,0.78,Gulab Jamun,24.35,13.48,0.59,Rajma,19.55,14.08,0.51,Rajma,61.87,61.92,0.76,Rajma,139,0.37,5,High,Medium,Roti,Dinner,154,0.22,60.08,79.0,121.89,7.84,150,16g/4g,High,Medium,1787,Medium,Perfect meal balance,15.02,Dal Tadka: 18.34 kg; Gulab Jamun: 13.48 kg; Rajma: 14.08 kg; Rajma: 61.92 kg; Rajma: 139.00 kg
1979-06-20,Saturday,Cloudy,Chole,36.19,44.31,3.48,Paneer Butter Masala,10.25,21.14,0.68,Roti,16.29,15.25,1.0,Idli,27.75,11.89,1.42,Paratha,80.53,51.91,9.43,Dosa,433,0.44,3,Medium,Low,Kheer,Dinner,419,0.42,70.63,92.16,53.9,4.91,226,12g/12g,Low,High,1771,Low,Perfect meal balance,18.02,Paneer Butter Masala: 21.14 kg; Roti: 15.25 kg; Idli: 11.89 kg; Paratha: 51.91 kg; Dosa: 433.00 kg
2017-11-07,Friday,Rainy,Naan,10.33,18.65,3.52,Baingan Bharta,13.67,17.52,4.62,Jalebi,12.0,23.0,4.75,Rajma,11.31,21.14,1.42,Kheer,64.65,43.36,3.2,Paratha,348,0.33,2,Medium,High,Roti,Lunch,192,0.23,94.16,122.69,44.77,9.98,374,20g/10g,Medium,High,1983,Medium,Large intake today,8.15,Baingan Bharta: 17.52 kg; Jalebi: 23.00 kg; Rajma: 21.14 kg; Kheer: 43.36 kg; Paratha: 348.00 kg
2021-11-20,Tuesday,Sunny,Paneer Butter Masala,47.93,8.5,4.47,Dal Tadka,19.73,12.46,4.74,Baingan Bharta,23.69,18.95,1.21,Rajma,18.06,16.43,1.15,Paratha,62.42,87.01,5.89,Naan,265,0.3,1,Low,Low,Roti,Breakfast,108,0.29,76.13,73.08,103.99,6.34,314,19g/10g,High,Medium,2945,Medium,Perfect meal balance,20.4,Dal Tadka: 12.46 kg; Baingan Bharta: 18.95 kg; Rajma: 16.43 kg; Paratha: 87.01 kg; Naan: 265.00 kg
1989-12-02,Friday,Sunny,Aloo Gobi,21.12,5.95,1.98,Roti,12.12,13.11,2.11,Idli,26.06,14.21,2.3,Jalebi,18.06,24.97,0.16,Kheer,80.07,50.97,7.35,Chole,200,0.21,5,High,High,Dosa,Breakfast,236,0.43,145.43,80.54,121.62,7.96,232,18g/6g,High,Medium,2152,Medium,Large intake today,19.22,Roti: 13.11 kg; Idli: 14.21 kg; Jalebi: 24.97 kg; Kheer: 50.97 kg; Chole: 200.00 kg
1992-11-08,Friday,Rainy,Rajma,29.9,13.87,0.98,Baingan Bharta,10.66,20.77,4.63,Chole,24.91,21.12,2.05,Idli,29.25,11.17,3.32,Dosa,84.06,84.51,4.95,Roti,401,0.23,4,High,Low,Pav Bhaji,Dinner,269,0.43,91.47,89.48,117.31,7.2,437,18g/9g,Low,Medium,2969,Medium,Perfect meal balance,10.18,Baingan Bharta: 20.77 kg; Chole: 21.12 kg; Idli: 11.17 kg; Dosa: 84.51 kg; Roti: 401.00 kg
1990-04-20,Thursday,Cloudy,Kheer,46.89,24.02,1.69,Rajma,17.47,16.49,4.85,Paneer Butter Masala,18.25,23.65,3.22,Naan,27.33,22.76,3.63,Jalebi,98.1,83.27,5.86,Paneer Butter Masala,417,0.22,2,High,Medium,Aloo Gobi,Breakfast,331,0.42,93.56,62.34,69.85,9.93,491,19g/3g,High,Low,1185,Low,Less intake today,16.01,Rajma: 16.49 kg; Paneer Butter Masala: 23.65 kg; Naan: 22.76 kg; Jalebi: 83.27 kg; Paneer Butter Masala: 417.00 kg
1997-11-07,Monday,Sunny,Rajma,22.08,26.28,0.38,Dosa,21.8,16.08,4.71,Baingan Bharta,13.52,24.66,4.12,Naan,28.19,11.76,4.36,Pav Bhaji,71.17,67.45,7.17,Roti,493,0.22,5,Medium,High,Dosa,Breakfast,379,0.49,64.22,110.68,96.26,2.27,396,5g/4g,High,High,1883,High,Perfect meal balance,15.6,Dosa: 16.08 kg; Baingan Bharta: 24.66 kg; Naan: 11.76 kg; Pav Bhaji: 67.45 kg; Roti: 493.00 kg
2004-03-26,Tuesday,Sunny,Rajma,46.99,39.07,4.13,Dosa,24.75,9.94,4.99,Idli,21.66,22.83,1.75,Chole,14.79,9.37,3.31,Aloo Gobi,93.88,50.92,2.67,Jalebi,139,0.41,5,Low,Medium,Baingan Bharta,Lunch,316,0.28,50.83,52.91,94.29,0.57,484,18g/9g,High,High,1462,Medium,Less intake today,7.21,Dosa: 9.94 kg; Idli: 22.83 kg; Chole: 9.37 kg; Aloo Gobi: 50.92 kg; Jalebi: 139.00 kg
2011-01-13,Wednesday,Rainy,Aloo Gobi,16.61,34.49,2.28,Baingan Bharta,10.32,19.24,4.12,Dal Tadka,16.63,13.71,0.85,Naan,21.5,19.79,0.86,Chole,81.6,42.18,0.66,Gulab Jamun,474,0.43,1,Medium,Medium,Dosa,Lunch,160,0.3,71.04,113.3,114.47,5.3,111,10g/15g,Medium,Low,3000,High,Large intake today,13.28,Baingan Bharta: 19.24 kg; Dal Tadka: 13.71 kg; Naan: 19.79 kg; Chole: 42.18 kg; Gulab Jamun: 474.00 kg
2003-05-27,Saturday,Sunny,Baingan Bharta,33.36,12.44,1.48,Dal Tadka,23.4,24.45,2.44,Dosa,22.12,17.98,1.06,Jalebi,13.33,13.53,4.01,Rajma,81.1,58.86,8.6,Aloo Gobi,382,0.45,1,High,Medium,Paneer Butter Masala,Breakfast,483,0.37,53.76,76.2,78.88,8.67,291,7g/8g,High,High,2803,Medium,Perfect meal balance,6.46,Dal Tadka: 24.45 kg; Dosa: 17.98 kg; Jalebi: 13.53 kg; Rajma: 58.86 kg; Aloo Gobi: 382.00 kg
1985-07-07,Saturday,Cloudy,Jalebi,31.85,16.37,2.25,Paratha,28.27,23.71,3.46,Kheer,16.14,17.87,3.13,Paratha,22.86,18.14,1.71,Naan,51.75,70.19,4.81,Roti,241,0.34,2,High,Medium,Aloo Gobi,Breakfast,478,0.3,149.89,85.79,52.68,3.77,480,20g/3g,High,High,2754,Medium,Large intake today,18.98,Paratha: 23.71 kg; Kheer: 17.87 kg; Paratha: 18.14 kg; Naan: 70.19 kg; Roti: 241.00 kg
1975-11-06,Friday,Rainy,Naan,23.67,33.84,0.11,Baingan Bharta,29.56,9.39,1.39,Paneer Butter Masala,29.77,10.04,3.61,Paneer Butter Masala,26.54,10.63,2.76,Paratha,95.21,60.23,0.62,Aloo Gobi,217,0.48,4,Medium,Low,Idli,Dinner,428,0.49,129.58,95.59,96.35,3.25,495,10g/15g,High,Medium,1470,Low,Perfect meal balance,12.15,Baingan Bharta: 9.39 kg; Paneer Butter Masala: 10.04 kg; Paneer Butter Masala: 10.63 kg; Paratha: 60.23 kg; Aloo Gobi: 217.00 kg
2014-05-24,Saturday,Cloudy,Chole,48.32,15.03,2.87,Dal Tadka,12.54,15.79,3.24,Jalebi,19.83,14.06,0.94,Dosa,27.02,23.18,0.67,Pav Bhaji,80.61,52.15,3.54,Jalebi,162,0.48,4,High,Low,Naan,Breakfast,413,0.45,145.84,57.24,104.75,2.28,311,14g/11g,Medium,High,2591,Low,Less intake today,10.31,Dal Tadka: 15.79 kg; Jalebi: 14.06 kg; Dosa: 23.18 kg; Pav Bhaji: 52.15 kg; Jalebi: 162.00 kg
2023-12-12,Friday,Rainy,Baingan Bharta,31.02,20.82,1.05,Pav Bhaji,24.32,24.96,3.35,Rajma,25.25,19.4,3.68,Dosa,19.46,23.21,1.69,Gulab Jamun,55.12,87.52,6.74,Naan,140,0.38,3,Medium,Medium,Paneer Butter Masala,Dinner,327,0.28,56.43,110.26,46.74,6.94,366,8g/5g,High,High,2144,Medium,Large intake today,13.41,Pav Bhaji: 24.96 kg; Rajma: 19.40 kg; Dosa: 23.21 kg; Gulab Jamun: 87.52 kg; Naan: 140.00 kg
2002-03-27,Thursday,Rainy,Idli,16.88,5.45,4.9,Rajma,19.87,17.81,4.77,Aloo Gobi,24.43,20.14,0.61,Jalebi,19.03,17.08,0.69,Jalebi,50.85,43.11,1.45,Aloo Gobi,315,0.3,5,Medium,High,Gulab Jamun,Lunch,408,0.28,85.1,136.63,67.63,6.88,152,20g/13g,Low,Medium,1152,Low,Large intake today,5.56,Rajma: 17.81 kg; Aloo Gobi: 20.14 kg; Jalebi: 17.08 kg; Jalebi: 43.11 kg; Aloo Gobi: 315.00 kg
1974-06-27,Monday,Rainy,Paratha,28.72,23.96,3.92,Paratha,19.14,15.35,0.79,Naan,13.08,8.6,3.42,Aloo Gobi,10.94,11.57,3.83,Rajma,86.37,65.14,4.13,Dal Tadka,482,0.23,5,Medium,Medium,Dal Tadka,Breakfast,344,0.34,62.51,50.34,75.88,9.96,405,15g/3g,High,High,1529,High,Perfect meal balance,8.84,Paratha: 15.35 kg; Naan: 8.60 kg; Aloo Gobi: 11.57 kg; Rajma: 65.14 kg; Dal Tadka: 482.00 kg
2015-11-30,Wednesday,Sunny,Paratha,16.19,31.74,1.53,Jalebi,19.06,17.74,1.38,Paneer Butter Masala,25.08,17.8,2.91,Kheer,10.16,23.82,4.36,Idli,98.98,81.74,0.48,Chole,146,0.23,3,Low,Low,Baingan Bharta,Breakfast,175,0.4,79.04,138.03,83.24,5.39,377,15g/8g,Low,Low,1677,Low,Less intake today,12.82,Jalebi: 17.74 kg; Paneer Butter Masala: 17.80 kg; Kheer: 23.82 kg; Idli: 81.74 kg; Chole: 146.00 kg
2021-08-24,Saturday,Sunny,Roti,45.76,44.71,2.11,Idli,15.64,17.63,1.16,Idli,19.76,20.88,4.03,Baingan Bharta,21.78,12.62,1.84,Roti,89.7,48.18,3.1,Jalebi,362,0.26,5,High,Low,Paneer Butter Masala,Lunch,493,0.21,105.39,80.45,97.34,6.68,369,15g/9g,Low,Low,1952,Low,Perfect meal balance,6.23,Idli: 17.63 kg; Idli: 20.88 kg; Baingan Bharta: 12.62 kg; Roti: 48.18 kg; Jalebi: 362.00 kg
2021-07-16,Sunday,Cloudy,Rajma,10.9,16.94,2.26,Kheer,16.76,23.9,3.38,Rajma,18.0,22.86,4.08,Roti,16.45,22.19,1.51,Paratha,61.77,78.8,5.31,Paratha,235,0.35,3,Medium,Low,Rajma,Dinner,488,0.3,79.51,139.02,130.06,9.62,355,17g/12g,Medium,Low,1104,Low,Large intake today,11.52,Kheer: 23.90 kg; Rajma: 22.86 kg; Roti: 22.19 kg; Paratha: 78.80 kg; Paratha: 235.00 kg
