Date,Day of Week,Weather,Breakfast Dish,Breakfast Quantity Made (kg),Breakfast Quantity Consumed (kg),Breakfast Quantity Wasted (kg),Dish1_Name,Dish1_Quantity_Made (kg),Dish1_Quantity_Consumed (kg),Dish1_Quantity_Wasted (kg),Dish2_Name,Dish2_Quantity_Made (kg),Dish2_Quantity_Consumed (kg),Dish2_Quantity_Wasted (kg),Staples1,Staples1_Quantity_Made (kg),Staples1_Quantity_Consumed (kg),Staples1_Quantity_Wasted (kg),Staples2,Staples2_Quantity_Made (kg),Staples2_Quantity_Consumed (kg),Staples2_Quantity_Wasted (kg),Dessert,Expected Diners,Avg Portion (kg),Satisfaction Score,Historical_Trend,Seasonal_Preference,Preferred Dish,Meal Type,Lunch/Dinner Expected Diners,Avg Portion Lunch/Dinner (kg),Quantity Made Lunch/Dinner (kg),Adjusted Quantity Made Lunch/Dinner (kg),Quantity Consumed Lunch/Dinner (kg),Quantity Wasted Lunch/Dinner (kg),Calories (per serving),Nutrient Value (Protein/Fiber),Preference for Dish1,Preference for Dish2,Food Cost (INR),Surplus Redistribution Potential,Notes for the Day,Total Food Waste (kg),Output
2019-05-20,Monday,Cloudy,Poha,44.13,26.04,3.19,Paneer Butter Masala,28.86,9.22,4.2,Dum Aloo,26.87,13.26,3.12,Rice,73.6,62.54,0.0,Roti,51.47,79.95,9.97,Halwa,246,0.28,5,High,High,Puri Bhaji,Dinner,488,0.35,71.73,134.95,75.35,0.57,366,10g/9g,Low,High,2277,Low,Less intake today,10.55,Paneer Butter Masala: 9.22 kg; Dum Aloo: 13.26 kg; Rice: 62.54 kg; Halwa: Halwa kg
1981-08-01,Monday,Cloudy,Idli,23.1,14.42,1.96,Butter Chicken,17.83,19.96,0.18,Aloo Gobi,22.3,18.6,2.42,Roti,83.78,65.66,9.35,Rice,86.32,80.31,4.72,Halwa,235,0.43,2,High,Low,Upma,Dinner,480,0.42,124.28,50.49,82.45,7.76,363,18g/12g,Medium,High,2628,Low,Less intake today,15.25,Butter Chicken: 19.96 kg; Aloo Gobi: 18.6 kg; Roti: 65.66 kg; Halwa: Halwa kg
1977-08-01,Wednesday,Sunny,Puri Bhaji,13.72,6.53,3.74,Palak Paneer,24.43,9.01,4.59,Paneer Butter Masala,16.8,16.59,1.73,Naan,99.67,60.23,9.48,Roti,83.39,88.8,9.59,Jalebi,492,0.27,2,Low,Low,Aloo Gobi,Dinner,233,0.4,76.23,61.65,83.71,0.9,472,10g/7g,Medium,High,2191,Medium,Perfect meal balance,19.03,Palak Paneer: 9.01 kg; Paneer Butter Masala: 16.59 kg; Naan: 60.23 kg; Jalebi: Jalebi kg
1973-06-06,Friday,Sunny,Pav Bhaji,24.95,33.3,1.51,Methi Thepla,28.13,18.75,3.05,Baingan Bharta,17.19,20.91,0.65,Rice,59.71,87.77,0.4,Naan,85.75,87.94,7.05,Jalebi,121,0.39,5,High,Medium,Dum Aloo,Dinner,491,0.34,95.88,102.38,97.39,5.22,275,18g/2g,High,Medium,1833,High,Less intake today,14.39,Methi Thepla: 18.75 kg; Baingan Bharta: 20.91 kg; Rice: 87.77 kg; Jalebi: Jalebi kg
2020-08-27,Wednesday,Sunny,Idli,18.63,30.37,0.57,Pav Bhaji,22.65,18.19,4.04,Chole,27.97,11.0,2.0,Roti,68.78,66.03,7.11,Paratha,72.73,41.35,4.96,Gulab Jamun,160,0.47,5,Low,Medium,Kadai Paneer,Lunch,428,0.4,114.83,88.14,55.98,6.53,295,15g/8g,High,Medium,1481,High,Perfect meal balance,22.88,Pav Bhaji: 18.19 kg; Chole: 11.0 kg; Roti: 66.03 kg; Gulab Jamun: Gulab Jamun kg
1980-09-12,Tuesday,Sunny,Idli,45.07,30.81,2.99,Aloo Paratha,11.54,12.97,4.98,Dal Tadka,20.14,12.49,4.58,Naan,96.43,53.53,1.37,Rice,91.07,53.58,6.38,Gulab Jamun,220,0.38,5,Medium,Low,Kadai Paneer,Dinner,294,0.37,133.01,138.6,51.36,4.8,237,10g/3g,Low,Medium,2352,High,Less intake today,19.84,Aloo Paratha: 12.97 kg; Dal Tadka: 12.49 kg; Naan: 53.53 kg; Gulab Jamun: Gulab Jamun kg
1970-02-05,Sunday,Sunny,Puri Bhaji,28.94,5.45,0.06,Paneer Butter Masala,12.82,20.88,2.65,Chana Masala,28.98,13.92,3.49,Roti,82.2,69.91,8.03,Naan,84.37,87.96,5.66,Jalebi,295,0.39,4,High,High,Methi Thepla,Dinner,478,0.35,120.91,102.65,45.49,0.95,295,13g/8g,High,Low,2310,High,Perfect meal balance,21.35,Paneer Butter Masala: 20.88 kg; Chana Masala: 13.92 kg; Roti: 69.91 kg; Jalebi: Jalebi kg
1977-03-12,Sunday,Rainy,Dosa,11.33,23.11,4.46,Aloo Gobi,13.69,22.5,4.86,Dum Aloo,11.21,15.18,4.72,Rice,59.1,79.19,2.98,Naan,64.0,88.54,1.52,Gulab Jamun,367,0.47,2,Low,Medium,Puri Bhaji,Lunch,488,0.36,125.63,86.73,46.15,3.11,281,17g/2g,Low,High,1566,Low,Large intake today,24.98,Aloo Gobi: 22.5 kg; Dum Aloo: 15.18 kg; Rice: 79.19 kg; Gulab Jamun: Gulab Jamun kg
2013-12-28,Saturday,Cloudy,Pav Bhaji,24.09,39.86,1.64,Butter Chicken,12.88,8.06,0.24,Dum Aloo,20.06,16.07,4.48,Rice,93.63,47.65,5.97,Paratha,53.41,40.53,2.68,Halwa,287,0.32,4,High,Medium,Rajma,Lunch,351,0.41,99.77,77.19,44.96,9.91,331,8g/2g,High,Medium,2402,High,Less intake today,11.68,Butter Chicken: 8.06 kg; Dum Aloo: 16.07 kg; Rice: 47.65 kg; Halwa: Halwa kg
1986-07-31,Thursday,Cloudy,Poha,20.4,22.72,3.14,Palak Paneer,21.68,24.26,1.82,Bhindi Fry,22.96,18.11,4.52,Rice,88.68,60.56,3.94,Roti,57.21,67.56,7.47,Gulab Jamun,301,0.22,3,Medium,Low,Paneer Butter Masala,Lunch,442,0.39,149.17,88.11,92.87,5.19,393,12g/3g,Medium,Low,1002,High,Large intake today,19.85,Palak Paneer: 24.26 kg; Bhindi Fry: 18.11 kg; Rice: 60.56 kg; Gulab Jamun: Gulab Jamun kg
2007-06-24,Friday,Sunny,Pav Bhaji,40.36,44.86,3.35,Dal Tadka,20.68,8.03,0.84,Kadhi Pakora,20.9,18.23,1.37,Roti,64.62,58.91,4.73,Naan,61.47,54.05,9.21,Jalebi,364,0.28,5,Medium,Medium,Palak Paneer,Dinner,360,0.35,72.24,143.02,115.2,9.32,264,6g/15g,High,Medium,2919,Low,Perfect meal balance,8.96,Dal Tadka: 8.03 kg; Kadhi Pakora: 18.23 kg; Roti: 58.91 kg; Jalebi: Jalebi kg
2013-02-19,Monday,Rainy,Dosa,32.37,33.92,4.32,Dal Tadka,15.93,11.09,4.13,Kadhi Pakora,24.36,13.57,0.61,Paratha,96.86,51.7,6.84,Rice,51.4,71.43,1.59,Halwa,169,0.22,3,Low,Low,Palak Paneer,Dinner,310,0.35,91.43,129.79,119.74,8.11,252,18g/11g,Low,Low,2976,High,Large intake today,15.91,Dal Tadka: 11.09 kg; Kadhi Pakora: 13.57 kg; Paratha: 51.7 kg; Halwa: Halwa kg
2021-01-02,Sunday,Sunny,Poha,37.58,34.17,0.11,Methi Thepla,13.56,14.23,0.55,Paneer Butter Masala,27.91,20.58,0.71,Naan,74.91,70.79,7.05,Rice,83.59,78.11,0.1,Gulab Jamun,414,0.24,2,Low,High,Aloo Gobi,Breakfast,380,0.24,115.91,97.91,103.59,4.09,109,15g/3g,Low,High,1947,Medium,Less intake today,21.05,Methi Thepla: 14.23 kg; Paneer Butter Masala: 20.58 kg; Naan: 70.79 kg; Gulab Jamun: Gulab Jamun kg
1986-02-15,Saturday,Sunny,Idli,47.1,27.64,1.78,Aloo Gobi,25.14,12.69,3.18,Kadhi Pakora,24.74,19.51,0.64,Paratha,63.17,80.46,1.31,Naan,60.87,83.37,8.73,Halwa,308,0.31,2,High,High,Rajma,Lunch,474,0.39,138.68,75.67,78.26,4.81,356,9g/2g,Medium,High,2160,Low,Less intake today,21.47,Aloo Gobi: 12.69 kg; Kadhi Pakora: 19.51 kg; Paratha: 80.46 kg; Halwa: Halwa kg
1983-03-01,Monday,Sunny,Pav Bhaji,10.64,10.22,2.69,Methi Thepla,20.01,8.45,3.36,Bhindi Fry,25.55,21.46,0.37,Roti,99.28,43.67,4.88,Rice,66.53,40.07,9.28,Kheer,470,0.4,4,Low,High,Methi Thepla,Lunch,383,0.27,87.82,66.01,46.31,4.14,267,20g/4g,Medium,High,1168,Low,Less intake today,18.17,Methi Thepla: 8.45 kg; Bhindi Fry: 21.46 kg; Roti: 43.67 kg; Kheer: Kheer kg
1992-10-15,Monday,Rainy,Pav Bhaji,24.11,6.25,2.53,Bhindi Fry,19.5,8.24,1.31,Kadhi Pakora,23.26,22.48,2.12,Rice,76.17,78.48,8.64,Roti,57.39,52.72,8.46,Kheer,222,0.36,4,High,Medium,Chana Masala,Lunch,348,0.36,102.93,58.58,130.0,4.72,177,8g/3g,High,High,1390,Medium,Perfect meal balance,23.13,Bhindi Fry: 8.24 kg; Kadhi Pakora: 22.48 kg; Rice: 78.48 kg; Kheer: Kheer kg
2012-06-27,Tuesday,Rainy,Idli,38.33,25.32,4.26,Pav Bhaji,18.0,16.55,3.36,Paneer Butter Masala,25.83,13.39,0.24,Rice,64.27,65.87,8.27,Roti,79.47,60.26,2.29,Gulab Jamun,244,0.47,5,Low,Medium,Dum Aloo,Lunch,234,0.36,117.86,135.16,124.56,2.99,139,5g/9g,Medium,High,2613,High,Perfect meal balance,20.56,Pav Bhaji: 16.55 kg; Paneer Butter Masala: 13.39 kg; Rice: 65.87 kg; Gulab Jamun: Gulab Jamun kg
2012-08-03,Wednesday,Cloudy,Puri Bhaji,29.05,26.07,2.37,Butter Chicken,25.86,14.64,4.49,Pulao,12.48,15.73,3.89,Naan,60.54,53.69,1.13,Paratha,87.98,40.81,1.91,Gulab Jamun,477,0.42,3,High,Low,Chole,Lunch,327,0.38,75.98,104.2,72.64,9.69,491,8g/5g,Low,Medium,1895,Medium,Less intake today,20.35,Butter Chicken: 14.64 kg; Pulao: 15.73 kg; Naan: 53.69 kg; Gulab Jamun: Gulab Jamun kg
2019-01-19,Tuesday,Sunny,Puri Bhaji,20.71,9.02,0.24,Pav Bhaji,19.18,18.4,0.49,Dum Aloo,18.01,16.52,4.68,Naan,96.13,41.12,6.01,Rice,54.54,68.72,4.07,Gulab Jamun,368,0.25,1,High,Low,Paneer Butter Masala,Breakfast,389,0.31,126.35,81.38,135.94,2.6,157,15g/4g,Medium,Low,2792,Low,Less intake today,6.58,Pav Bhaji: 18.4 kg; Dum Aloo: 16.52 kg; Naan: 41.12 kg; Gulab Jamun: Gulab Jamun kg
2021-08-03,Wednesday,Rainy,Dosa,22.63,25.87,0.33,Aloo Gobi,26.54,19.1,4.93,Pulao,28.03,19.79,0.35,Paratha,82.73,81.64,1.26,Naan,51.89,85.84,7.32,Gulab Jamun,455,0.32,5,Medium,Low,Malai Kofta,Dinner,492,0.32,115.43,90.75,40.13,8.53,323,19g/15g,Medium,Low,1897,High,Less intake today,12.45,Aloo Gobi: 19.1 kg; Pulao: 19.79 kg; Paratha: 81.64 kg; Gulab Jamun: Gulab Jamun kg
1974-11-12,Saturday,Rainy,Upma,41.28,43.06,4.24,Paneer Butter Masala,17.08,9.47,3.96,Chana Masala,29.56,20.59,0.6,Rice,77.28,61.04,4.01,Roti,61.43,61.64,5.66,Jalebi,387,0.39,5,High,High,Dal Tadka,Lunch,497,0.44,82.66,103.18,67.88,1.3,292,5g/15g,Medium,Low,1839,Medium,Large intake today,22.59,Paneer Butter Masala: 9.47 kg; Chana Masala: 20.59 kg; Rice: 61.04 kg; Jalebi: Jalebi kg
1984-11-05,Wednesday,Sunny,Pav Bhaji,20.2,10.02,3.11,Pav Bhaji,12.62,9.24,3.4,Bhindi Fry,17.28,11.97,4.84,Naan,77.58,58.08,3.45,Rice,54.46,41.24,1.64,Jalebi,247,0.41,5,Medium,Medium,Rajma,Lunch,122,0.48,141.71,76.91,136.24,0.45,139,17g/2g,Low,High,1748,Low,Less intake today,15.22,Pav Bhaji: 9.24 kg; Bhindi Fry: 11.97 kg; Naan: 58.08 kg; Jalebi: Jalebi kg
1995-05-20,Sunday,Sunny,Dosa,21.21,27.67,1.76,Butter Chicken,11.5,23.17,3.26,Gobi Manchurian,28.57,16.67,3.95,Roti,97.58,46.46,7.25,Paratha,98.79,52.51,2.33,Halwa,143,0.35,4,Low,High,Pav Bhaji,Dinner,122,0.45,63.53,89.04,89.71,0.49,112,14g/11g,High,Low,2837,Low,Large intake today,24.12,Butter Chicken: 23.17 kg; Gobi Manchurian: 16.67 kg; Roti: 46.46 kg; Halwa: Halwa kg
1973-11-01,Tuesday,Sunny,Upma,23.05,13.8,4.26,Chole,22.97,15.78,3.36,Chana Masala,27.56,23.4,0.62,Roti,89.9,80.88,7.45,Paratha,55.51,46.77,3.28,Jalebi,308,0.44,3,Low,Medium,Malai Kofta,Dinner,435,0.43,128.66,79.7,113.84,0.55,164,5g/5g,Medium,Medium,2666,High,Perfect meal balance,23.02,Chole: 15.78 kg; Chana Masala: 23.4 kg; Roti: 80.88 kg; Jalebi: Jalebi kg
2022-10-11,Monday,Cloudy,Upma,24.2,40.94,2.66,Pav Bhaji,19.41,21.39,3.96,Pulao,21.83,9.95,3.17,Roti,66.99,64.76,7.66,Rice,95.21,56.2,0.43,Jalebi,333,0.44,2,High,Medium,Dal Tadka,Lunch,407,0.41,109.28,60.11,78.63,3.94,164,12g/12g,Medium,High,1791,Medium,Perfect meal balance,8.72,Pav Bhaji: 21.39 kg; Pulao: 9.95 kg; Roti: 64.76 kg; Jalebi: Jalebi kg
1983-10-26,Wednesday,Cloudy,Dosa,10.33,7.58,4.37,Rajma,14.97,21.75,3.05,Dal Tadka,23.56,15.18,3.63,Roti,54.16,54.74,4.73,Naan,74.01,70.17,1.16,Jalebi,116,0.42,1,High,High,Rajma,Breakfast,332,0.34,84.17,134.69,97.74,5.19,147,19g/14g,Low,Medium,1631,Medium,Large intake today,23.18,Rajma: 21.75 kg; Dal Tadka: 15.18 kg; Roti: 54.74 kg; Jalebi: Jalebi kg
2017-05-06,Wednesday,Sunny,Pav Bhaji,41.41,9.26,3.52,Bhindi Fry,10.92,17.29,0.69,Kadhi Pakora,26.52,16.06,1.31,Rice,70.87,78.27,5.23,Naan,68.55,69.06,2.69,Gulab Jamun,494,0.48,4,Low,Medium,Dum Aloo,Breakfast,478,0.47,86.29,99.48,98.01,0.25,394,13g/13g,Low,High,2793,Low,Large intake today,24.43,Bhindi Fry: 17.29 kg; Kadhi Pakora: 16.06 kg; Rice: 78.27 kg; Gulab Jamun: Gulab Jamun kg
1982-06-30,Sunday,Cloudy,Puri Bhaji,28.7,40.52,3.06,Aloo Gobi,27.71,15.25,1.01,Chole,22.33,21.86,1.11,Roti,69.34,83.95,5.27,Naan,95.12,71.52,4.15,Kheer,151,0.29,5,High,High,Puri Bhaji,Breakfast,385,0.25,76.67,129.86,122.91,9.12,463,6g/7g,Low,Medium,1555,Low,Perfect meal balance,19.31,Aloo Gobi: 15.25 kg; Chole: 21.86 kg; Roti: 83.95 kg; Kheer: Kheer kg
2011-03-25,Sunday,Cloudy,Upma,45.66,21.29,3.78,Chole,13.48,22.14,3.49,Pulao,28.89,10.13,2.41,Roti,88.06,81.8,8.05,Rice,71.28,41.93,4.14,Kheer,304,0.49,2,Low,High,Paneer Butter Masala,Dinner,135,0.47,144.58,137.03,62.91,7.56,335,16g/15g,High,Medium,2964,Medium,Large intake today,19.89,Chole: 22.14 kg; Pulao: 10.13 kg; Roti: 81.8 kg; Kheer: Kheer kg
1975-07-17,Monday,Sunny,Dosa,33.94,5.94,0.26,Paneer Butter Masala,17.68,23.64,2.61,Kadhi Pakora,26.4,16.64,4.18,Rice,78.3,60.83,5.76,Roti,98.1,66.03,2.3,Halwa,420,0.24,3,Medium,Low,Upma,Lunch,266,0.4,65.55,100.49,40.79,3.86,185,20g/5g,Low,Low,2551,Low,Less intake today,23.19,Paneer Butter Masala: 23.64 kg; Kadhi Pakora: 16.64 kg; Rice: 60.83 kg; Halwa: Halwa kg
2005-02-08,Friday,Sunny,Pav Bhaji,41.51,40.31,0.87,Palak Paneer,12.22,19.15,3.83,Bhindi Fry,13.93,11.65,1.27,Rice,59.79,76.3,9.39,Roti,87.94,84.86,8.94,Jalebi,297,0.21,2,High,Medium,Pulao,Breakfast,362,0.23,50.24,66.57,60.96,4.61,399,8g/2g,High,Medium,2285,Low,Less intake today,16.05,Palak Paneer: 19.15 kg; Bhindi Fry: 11.65 kg; Rice: 76.3 kg; Jalebi: Jalebi kg
2011-01-05,Wednesday,Sunny,Upma,27.4,10.45,2.31,Butter Chicken,24.61,15.85,3.16,Aloo Gobi,27.06,11.26,3.42,Naan,59.9,88.53,9.48,Paratha,94.07,53.29,9.95,Jalebi,226,0.49,4,Medium,Medium,Dal Tadka,Lunch,242,0.21,141.9,121.51,59.96,5.19,477,18g/11g,Medium,Low,2584,Medium,Large intake today,15.01,Butter Chicken: 15.85 kg; Aloo Gobi: 11.26 kg; Naan: 88.53 kg; Jalebi: Jalebi kg
2008-01-17,Wednesday,Rainy,Poha,11.47,30.35,2.11,Bhindi Fry,13.84,24.15,4.48,Baingan Bharta,14.67,10.29,4.68,Rice,89.61,55.97,6.66,Roti,69.62,41.24,1.43,Gulab Jamun,178,0.3,1,Low,High,Idli,Breakfast,432,0.25,86.71,101.45,119.24,9.16,460,20g/13g,Low,Low,1086,High,Perfect meal balance,11.14,Bhindi Fry: 24.15 kg; Baingan Bharta: 10.29 kg; Rice: 55.97 kg; Gulab Jamun: Gulab Jamun kg
1972-09-08,Tuesday,Rainy,Dosa,39.08,32.43,0.14,Aloo Paratha,19.36,12.77,1.51,Aloo Gobi,13.63,20.67,4.11,Naan,89.58,42.93,6.42,Roti,51.73,71.22,4.18,Kheer,238,0.35,1,Low,High,Baingan Bharta,Lunch,143,0.28,129.56,125.13,53.55,0.77,435,5g/8g,Medium,High,2521,Low,Perfect meal balance,22.53,Aloo Paratha: 12.77 kg; Aloo Gobi: 20.67 kg; Naan: 42.93 kg; Kheer: Kheer kg
1978-12-18,Tuesday,Rainy,Puri Bhaji,39.16,20.07,2.54,Palak Paneer,10.06,24.64,4.16,Paneer Butter Masala,10.09,22.88,3.19,Paratha,51.18,60.92,3.96,Rice,77.57,42.65,9.54,Gulab Jamun,431,0.27,1,High,Medium,Poha,Breakfast,176,0.24,131.07,128.21,98.99,0.34,106,13g/14g,High,High,2280,High,Less intake today,19.75,Palak Paneer: 24.64 kg; Paneer Butter Masala: 22.88 kg; Paratha: 60.92 kg; Gulab Jamun: Gulab Jamun kg
1994-01-08,Sunday,Cloudy,Idli,34.41,10.91,2.45,Rajma,21.91,23.32,0.66,Paneer Butter Masala,22.33,17.24,4.33,Roti,50.68,80.55,8.67,Rice,55.56,72.64,3.04,Gulab Jamun,293,0.44,3,High,Medium,Aloo Gobi,Dinner,162,0.31,114.33,67.45,99.96,9.96,379,18g/2g,Medium,High,1125,High,Perfect meal balance,20.36,Rajma: 23.32 kg; Paneer Butter Masala: 17.24 kg; Roti: 80.55 kg; Gulab Jamun: Gulab Jamun kg
2012-06-07,Saturday,Rainy,Pav Bhaji,32.67,30.57,2.04,Butter Chicken,12.97,24.12,2.26,Aloo Gobi,14.77,16.44,2.78,Rice,67.1,69.0,4.45,Roti,60.65,53.3,1.21,Jalebi,305,0.42,5,Medium,Low,Rajma,Lunch,159,0.46,131.64,135.55,84.22,6.7,136,15g/3g,High,Low,1815,High,Large intake today,19.94,Butter Chicken: 24.12 kg; Aloo Gobi: 16.44 kg; Rice: 69.0 kg; Jalebi: Jalebi kg
2020-08-18,Sunday,Sunny,Dosa,12.22,14.12,1.23,Dal Tadka,17.15,10.42,3.39,Gobi Manchurian,26.67,20.22,4.75,Paratha,51.9,41.15,3.64,Naan,79.01,71.8,3.53,Kheer,105,0.22,3,High,High,Dum Aloo,Breakfast,437,0.25,58.75,89.06,84.53,6.85,321,11g/12g,Low,Medium,1822,Low,Large intake today,11.61,Dal Tadka: 10.42 kg; Gobi Manchurian: 20.22 kg; Paratha: 41.15 kg; Kheer: Kheer kg
1981-03-27,Monday,Cloudy,Upma,43.14,38.39,2.33,Methi Thepla,13.59,13.8,3.82,Baingan Bharta,20.8,10.98,2.33,Roti,82.73,80.72,7.34,Rice,50.08,74.59,5.69,Gulab Jamun,231,0.27,4,Medium,Medium,Paneer Butter Masala,Lunch,207,0.28,91.17,105.55,48.69,8.28,259,8g/10g,Medium,High,1022,Medium,Less intake today,20.17,Methi Thepla: 13.8 kg; Baingan Bharta: 10.98 kg; Roti: 80.72 kg; Gulab Jamun: Gulab Jamun kg
