Date,Meal Time,Expected Diners,Actual Diners,Food Prepared (kg),Food Consumed (kg),Portion Size (g),Food Waste (kg),Special Event,Satisfaction Score,Waste Feedback,Surplus Food (kg),Food Distributed (kg),Weather,Suggestions
2024-06-19,Lunch,2277,2289,61.26,56.01,357,5.25,Holiday,3,Minimal Waste,2.22,1.84,Windy,Portion sizes seem optimal; continue as is.
2024-09-24,Lunch,2992,3039,78.99,52.29,373,26.7,Staff Meeting,2,Minimal Waste,0.86,0.71,Windy,Consider changing the menu or improving food quality.
2024-01-04,Lunch,2272,2273,68.08,66.71,370,1.37,Staff Meeting,5,High Waste,7.71,6.17,Windy,Reduce portion size by 10-20% for the next meal.
2024-11-08,Dinner,3284,3272,62.69,56.14,369,6.55,Holiday,2,Moderate Waste,5.06,4.18,Sunny,Consider changing the menu or improving food quality.
2024-09-15,Lunch,2955,2917,83.11,75.52,334,7.59,Holiday,3,Moderate Waste,7.02,1.93,Cloudy,Portion sizes seem optimal; continue as is.
2024-09-13,Lunch,2437,2471,97.7,87.44,302,10.26,Sports Day,3,Minimal Waste,0.73,0.69,Rainy,Increase portions slightly for high energy consumption.
2024-03-29,Dinner,3404,3412,83.17,51.04,416,32.13,Sports Day,2,Minimal Waste,6.84,4.34,Windy,Consider changing the menu or improving food quality.
2024-03-10,Lunch,2894,2898,97.95,42.37,307,55.58,Staff Meeting,2,High Waste,1.17,1.15,Rainy,Reduce portion size by 10-20% for the next meal.
2024-07-02,Lunch,2120,2163,61.51,52.91,373,8.6,No Event,3,Minimal Waste,1.97,1.2,Sunny,Portion sizes seem optimal; continue as is.
2024-05-30,Breakfast,2282,2241,71.12,61.72,298,9.4,Staff Meeting,3,High Waste,2.51,0.73,Rainy,Reduce portion size by 10-20% for the next meal.
2024-03-05,Breakfast,1148,1120,65.05,54.55,300,10.5,No Event,4,High Waste,1.67,0.91,Rainy,Reduce portion size by 10-20% for the next meal.
2024-11-01,Breakfast,1040,1066,61.24,49.87,330,11.37,No Event,3,Minimal Waste,1.57,1.14,Sunny,Portion sizes seem optimal; continue as is.
2024-05-26,Lunch,2582,2610,86.79,50.96,320,35.83,Sports Day,2,Minimal Waste,8.67,5.21,Windy,Consider changing the menu or improving food quality.
2024-03-28,Breakfast,2425,2451,59.93,55.84,282,4.09,Holiday,1,Moderate Waste,1.3,0.78,Cloudy,Consider changing the menu or improving food quality.
2024-10-19,Breakfast,2437,2415,59.42,44.42,330,15.0,Sports Day,4,Moderate Waste,9.67,2.03,Rainy,Increase portions slightly for high energy consumption.
2024-03-31,Breakfast,1920,1954,62.23,60.78,285,1.45,Holiday,4,Minimal Waste,3.9,3.29,Sunny,Portion sizes seem optimal; continue as is.
2024-10-01,Dinner,3328,3359,79.59,55.17,388,24.42,No Event,5,Minimal Waste,3.81,3.3,Windy,Portion sizes seem optimal; continue as is.
2024-10-26,Breakfast,2217,2227,68.77,57.14,286,11.63,Staff Meeting,4,High Waste,6.06,4.4,Cloudy,Reduce portion size by 10-20% for the next meal.
2024-06-20,Breakfast,2326,2332,90.67,64.73,316,25.94,Sports Day,3,Moderate Waste,8.94,2.59,Sunny,Increase portions slightly for high energy consumption.
2024-04-11,Lunch,2212,2215,51.18,45.2,400,5.98,Staff Meeting,5,Moderate Waste,1.3,0.84,Sunny,Portion sizes seem optimal; continue as is.
2024-08-04,Breakfast,1850,1861,88.73,52.98,345,35.75,Sports Day,1,Minimal Waste,3.43,2.71,Sunny,Consider changing the menu or improving food quality.
2024-08-27,Dinner,3479,3475,68.09,42.83,495,25.26,Sports Day,2,Minimal Waste,0.6,0.59,Windy,Consider changing the menu or improving food quality.
2024-06-24,Dinner,3035,3006,60.85,41.12,334,19.73,Sports Day,5,High Waste,5.99,2.9,Sunny,Reduce portion size by 10-20% for the next meal.
2024-03-12,Dinner,3810,3831,89.08,70.2,453,18.88,No Event,3,High Waste,7.84,6.56,Cloudy,Reduce portion size by 10-20% for the next meal.
2024-03-15,Dinner,3739,3738,60.0,56.75,418,3.25,Sports Day,1,Moderate Waste,6.08,1.52,Rainy,Consider changing the menu or improving food quality.
2024-09-27,Dinner,3936,3902,84.49,76.78,458,7.71,No Event,3,Moderate Waste,6.08,5.01,Windy,Portion sizes seem optimal; continue as is.
2024-01-06,Lunch,2223,2204,85.83,43.76,369,42.07,Holiday,2,Minimal Waste,0.87,0.8,Sunny,Consider changing the menu or improving food quality.
2024-08-15,Dinner,3221,3251,58.14,48.83,444,9.31,No Event,1,Minimal Waste,1.74,0.77,Cloudy,Consider changing the menu or improving food quality.
2024-06-03,Breakfast,1007,979,83.55,66.74,333,16.81,Staff Meeting,3,Minimal Waste,8.19,1.66,Windy,Portion sizes seem optimal; continue as is.
2024-09-16,Dinner,2788,2801,62.46,53.71,326,8.75,No Event,3,High Waste,7.28,7.19,Rainy,Reduce portion size by 10-20% for the next meal.
2024-03-25,Dinner,2911,2960,94.02,61.3,410,32.72,Holiday,5,Minimal Waste,2.37,2.23,Cloudy,Portion sizes seem optimal; continue as is.
2024-01-30,Lunch,2675,2656,75.74,61.91,361,13.83,Holiday,3,Moderate Waste,0.89,0.67,Sunny,Portion sizes seem optimal; continue as is.
2024-02-16,Dinner,2591,2560,89.86,69.68,377,20.18,Holiday,4,Moderate Waste,5.58,1.61,Cloudy,Portion sizes seem optimal; continue as is.
2024-03-11,Dinner,2752,2790,98.8,91.07,305,7.73,Sports Day,4,Moderate Waste,1.14,1.13,Windy,Increase portions slightly for high energy consumption.
2024-07-20,Dinner,2771,2795,85.81,74.14,479,11.67,No Event,1,Minimal Waste,2.32,0.7,Cloudy,Consider changing the menu or improving food quality.
2024-09-22,Breakfast,1763,1797,50.18,45.31,312,4.87,Staff Meeting,4,High Waste,3.39,1.11,Sunny,Reduce portion size by 10-20% for the next meal.
2024-07-06,Lunch,2972,2940,66.17,44.37,396,21.8,No Event,2,Minimal Waste,4.92,4.18,Cloudy,Consider changing the menu or improving food quality.
2024-08-22,Dinner,3407,3455,69.92,41.62,434,28.3,No Event,4,High Waste,7.27,5.03,Sunny,Reduce portion size by 10-20% for the next meal.
2024-10-18,Breakfast,1064,1093,69.62,58.64,347,10.98,Staff Meeting,1,Minimal Waste,9.31,6.67,Windy,Consider changing the menu or improving food quality.
2024-10-16,Dinner,3566,3540,69.51,54.72,364,14.79,Holiday,2,High Waste,6.66,5.23,Sunny,Reduce portion size by 10-20% for the next meal.
2024-03-23,Breakfast,2363,2340,84.97,63.34,254,21.63,Holiday,1,Moderate Waste,5.55,4.4,Rainy,Consider changing the menu or improving food quality.
2024-02-09,Lunch,2708,2751,82.94,53.46,347,29.48,Sports Day,4,Moderate Waste,4.86,2.44,Sunny,Increase portions slightly for high energy consumption.
2024-06-30,Dinner,3396,3375,63.08,45.07,441,18.01,Sports Day,1,High Waste,1.14,0.55,Cloudy,Reduce portion size by 10-20% for the next meal.
2024-03-15,Dinner,2981,2960,52.54,51.04,440,1.5,Staff Meeting,5,Minimal Waste,9.61,7.87,Windy,Portion sizes seem optimal; continue as is.
2024-04-25,Lunch,2612,2604,53.24,46.49,356,6.75,No Event,3,Moderate Waste,4.6,1.1,Windy,Portion sizes seem optimal; continue as is.
2024-10-31,Dinner,2718,2747,91.98,55.75,353,36.23,Staff Meeting,5,Moderate Waste,6.1,0.71,Cloudy,Portion sizes seem optimal; continue as is.
2024-07-29,Breakfast,1569,1547,79.81,45.79,299,34.02,Sports Day,1,High Waste,4.36,3.81,Sunny,Reduce portion size by 10-20% for the next meal.
2024-03-17,Breakfast,2244,2204,93.3,48.96,285,44.34,Staff Meeting,4,Minimal Waste,7.15,1.69,Rainy,Consider offering warm food options.
2024-01-18,Lunch,2457,2425,57.15,53.49,303,3.66,Holiday,4,High Waste,4.85,1.56,Windy,Reduce portion size by 10-20% for the next meal.
2024-10-18,Breakfast,2306,2332,57.25,47.48,291,9.77,No Event,1,Moderate Waste,1.22,0.92,Rainy,Consider changing the menu or improving food quality.
2024-09-29,Dinner,3032,3069,70.51,67.66,490,2.85,Staff Meeting,1,High Waste,3.06,2.42,Windy,Reduce portion size by 10-20% for the next meal.
2024-05-13,Dinner,3297,3318,88.72,81.24,429,7.48,Holiday,1,Moderate Waste,1.39,0.54,Windy,Consider changing the menu or improving food quality.
2024-09-14,Breakfast,1285,1298,79.65,47.49,269,32.16,Sports Day,5,Moderate Waste,7.6,5.09,Cloudy,Increase portions slightly for high energy consumption.
2024-10-29,Lunch,2994,2999,61.84,55.93,338,5.91,No Event,4,Moderate Waste,5.28,0.66,Rainy,Consider offering warm food options.
2024-01-22,Breakfast,2162,2126,55.37,46.29,311,9.08,Holiday,1,Minimal Waste,1.54,1.17,Sunny,Consider changing the menu or improving food quality.
2024-09-22,Lunch,2225,2273,68.53,67.94,362,0.59,Holiday,2,Moderate Waste,9.07,2.06,Windy,Consider changing the menu or improving food quality.
2024-09-25,Lunch,2049,2057,76.41,69.61,392,6.8,Staff Meeting,5,Minimal Waste,7.86,6.7,Cloudy,Portion sizes seem optimal; continue as is.
2024-07-22,Breakfast,1907,1956,56.85,43.74,297,13.11,Holiday,1,Minimal Waste,4.03,1.26,Sunny,Consider changing the menu or improving food quality.
2024-11-04,Lunch,2713,2699,71.83,67.98,381,3.85,No Event,1,Minimal Waste,4.5,0.85,Rainy,Consider changing the menu or improving food quality.
2024-07-30,Dinner,2564,2527,62.16,42.24,497,19.92,Holiday,3,High Waste,6.1,5.22,Windy,Reduce portion size by 10-20% for the next meal.
2024-08-02,Lunch,2593,2577,86.38,67.7,314,18.68,Sports Day,2,Minimal Waste,4.95,2.7,Cloudy,Consider changing the menu or improving food quality.
2024-05-05,Breakfast,2319,2314,68.09,62.31,331,5.78,Sports Day,4,Minimal Waste,7.22,4.18,Rainy,Increase portions slightly for high energy consumption.
2024-08-25,Lunch,2074,2061,91.24,45.01,302,46.23,Sports Day,2,Moderate Waste,3.33,1.38,Cloudy,Consider changing the menu or improving food quality.
2024-04-08,Breakfast,1258,1272,97.55,68.49,303,29.06,Staff Meeting,5,Minimal Waste,7.17,3.53,Cloudy,Portion sizes seem optimal; continue as is.
2024-11-06,Lunch,2808,2814,70.15,59.57,317,10.58,Holiday,4,Minimal Waste,0.6,0.59,Sunny,Portion sizes seem optimal; continue as is.
2024-10-03,Lunch,2912,2885,90.59,68.94,362,21.65,Staff Meeting,4,Moderate Waste,2.92,1.03,Rainy,Consider offering warm food options.
2024-05-31,Breakfast,1072,1036,52.73,40.14,329,12.59,Sports Day,5,High Waste,4.12,2.72,Cloudy,Reduce portion size by 10-20% for the next meal.
2024-10-30,Dinner,3674,3627,57.29,51.99,484,5.3,Sports Day,3,High Waste,9.92,2.67,Windy,Reduce portion size by 10-20% for the next meal.
2024-09-28,Lunch,2530,2520,89.07,59.5,319,29.57,Holiday,4,Minimal Waste,8.82,0.87,Rainy,Consider offering warm food options.
2024-05-17,Dinner,3284,3261,98.73,52.79,310,45.94,Sports Day,2,Moderate Waste,5.25,2.8,Windy,Consider changing the menu or improving food quality.
2024-02-23,Dinner,3648,3612,60.87,44.69,390,16.18,Staff Meeting,2,Moderate Waste,3.22,2.61,Cloudy,Consider changing the menu or improving food quality.
2024-10-27,Lunch,2723,2674,74.09,73.02,351,1.07,No Event,2,Moderate Waste,5.25,1.52,Rainy,Consider changing the menu or improving food quality.
2024-02-02,Lunch,2187,2160,96.36,63.59,310,32.77,Staff Meeting,4,Moderate Waste,3.14,2.15,Windy,Portion sizes seem optimal; continue as is.
2024-02-05,Lunch,2676,2681,94.24,60.0,350,34.24,Holiday,2,Moderate Waste,8.5,6.32,Cloudy,Consider changing the menu or improving food quality.
2024-01-09,Dinner,3204,3224,77.42,68.88,341,8.54,Sports Day,2,Moderate Waste,7.75,5.44,Sunny,Consider changing the menu or improving food quality.
2024-08-20,Breakfast,1399,1362,61.53,55.56,301,5.97,Staff Meeting,2,Minimal Waste,2.91,0.98,Sunny,Consider changing the menu or improving food quality.
2024-09-02,Lunch,2472,2423,85.87,72.64,341,13.23,Holiday,1,High Waste,1.67,0.76,Sunny,Reduce portion size by 10-20% for the next meal.
2024-02-11,Breakfast,2488,2503,64.38,57.23,278,7.15,Holiday,2,High Waste,9.26,5.27,Rainy,Reduce portion size by 10-20% for the next meal.
2024-07-27,Dinner,2962,2936,56.47,53.74,350,2.73,Sports Day,4,Moderate Waste,2.95,2.05,Cloudy,Increase portions slightly for high energy consumption.
2024-03-13,Dinner,3714,3721,71.98,53.45,497,18.53,Holiday,4,Moderate Waste,5.68,1.92,Sunny,Portion sizes seem optimal; continue as is.
2024-08-24,Breakfast,1082,1076,68.1,47.66,285,20.44,Staff Meeting,4,High Waste,3.35,1.19,Windy,Reduce portion size by 10-20% for the next meal.
2024-09-06,Lunch,2049,2089,80.87,73.61,371,7.26,Sports Day,2,Minimal Waste,2.69,2.37,Windy,Consider changing the menu or improving food quality.
2024-02-04,Breakfast,1444,1394,74.63,54.26,265,20.37,Sports Day,5,Moderate Waste,1.67,1.39,Cloudy,Increase portions slightly for high energy consumption.
2024-04-02,Lunch,2298,2335,88.67,86.59,366,2.08,Staff Meeting,4,High Waste,0.81,0.61,Cloudy,Reduce portion size by 10-20% for the next meal.
2024-06-28,Dinner,2621,2577,80.54,76.22,372,4.32,Staff Meeting,3,Minimal Waste,4.68,2.92,Rainy,Consider offering warm food options.
2024-10-07,Breakfast,1766,1768,74.99,59.41,273,15.58,Staff Meeting,2,Minimal Waste,2.11,1.72,Cloudy,Consider changing the menu or improving food quality.
2024-04-13,Dinner,3102,3057,84.15,46.96,445,37.19,Staff Meeting,3,Moderate Waste,5.08,1.5,Rainy,Consider offering warm food options.
2024-03-14,Lunch,2486,2441,78.46,47.81,330,30.65,Holiday,2,Minimal Waste,4.09,1.56,Sunny,Consider changing the menu or improving food quality.
2024-01-31,Dinner,2809,2832,52.18,51.6,315,0.58,Holiday,4,Moderate Waste,1.0,0.77,Sunny,Portion sizes seem optimal; continue as is.
2024-01-27,Lunch,2564,2593,86.03,80.65,313,5.38,Holiday,5,High Waste,4.61,3.58,Rainy,Reduce portion size by 10-20% for the next meal.
2024-03-08,Lunch,2341,2308,62.15,48.47,338,13.68,Sports Day,2,Moderate Waste,9.11,5.75,Windy,Consider changing the menu or improving food quality.
2024-10-22,Lunch,2497,2500,66.59,42.55,368,24.04,Sports Day,2,High Waste,6.3,2.62,Windy,Reduce portion size by 10-20% for the next meal.
2024-05-15,Dinner,3908,3878,76.47,74.09,371,2.38,Sports Day,5,High Waste,5.33,1.48,Cloudy,Reduce portion size by 10-20% for the next meal.
2024-04-29,Breakfast,2284,2264,54.63,40.2,341,14.43,No Event,5,Moderate Waste,9.13,4.04,Rainy,Consider offering warm food options.
2024-02-11,Breakfast,1367,1340,85.3,73.93,343,11.37,No Event,2,High Waste,3.88,1.07,Windy,Reduce portion size by 10-20% for the next meal.
2024-01-08,Dinner,2504,2505,90.41,87.14,425,3.27,Staff Meeting,2,High Waste,2.49,2.13,Cloudy,Reduce portion size by 10-20% for the next meal.
2024-04-11,Lunch,2550,2578,58.69,57.76,340,0.93,Holiday,5,Minimal Waste,6.84,1.25,Windy,Portion sizes seem optimal; continue as is.
2024-09-05,Dinner,3139,3119,56.49,54.62,488,1.87,Sports Day,3,Minimal Waste,4.94,0.85,Sunny,Increase portions slightly for high energy consumption.
2024-03-02,Dinner,2654,2670,76.55,48.82,346,27.73,No Event,4,Minimal Waste,9.59,3.54,Cloudy,Portion sizes seem optimal; continue as is.
2024-09-02,Dinner,2901,2869,80.01,65.52,443,14.49,No Event,1,High Waste,0.55,0.51,Sunny,Reduce portion size by 10-20% for the next meal.
2024-05-02,Dinner,2858,2889,77.69,52.74,424,24.95,No Event,1,High Waste,9.34,4.83,Sunny,Reduce portion size by 10-20% for the next meal.
2024-01-23,Lunch,2358,2394,90.29,76.52,398,13.77,Holiday,2,High Waste,1.78,1.21,Rainy,Reduce portion size by 10-20% for the next meal.
2024-08-02,Lunch,2674,2680,55.95,45.28,347,10.67,No Event,1,High Waste,4.93,0.66,Sunny,Reduce portion size by 10-20% for the next meal.
2024-06-29,Breakfast,2237,2204,94.8,50.53,297,44.27,No Event,5,Minimal Waste,6.34,2.88,Windy,Portion sizes seem optimal; continue as is.
2024-10-08,Breakfast,1332,1315,86.75,85.53,287,1.22,Staff Meeting,5,High Waste,3.06,2.35,Rainy,Reduce portion size by 10-20% for the next meal.
2024-08-14,Breakfast,2339,2303,54.88,48.85,267,6.03,Holiday,2,High Waste,8.98,3.4,Sunny,Reduce portion size by 10-20% for the next meal.
2024-06-01,Dinner,3114,3163,88.64,58.12,480,30.52,Staff Meeting,3,High Waste,5.79,3.82,Rainy,Reduce portion size by 10-20% for the next meal.
2024-10-14,Dinner,2780,2793,66.67,49.56,438,17.11,Sports Day,4,Minimal Waste,8.25,5.75,Windy,Increase portions slightly for high energy consumption.
2024-10-29,Lunch,2505,2514,67.29,51.1,330,16.19,Staff Meeting,4,Moderate Waste,3.73,3.54,Rainy,Consider offering warm food options.
2024-02-07,Lunch,2518,2510,71.31,52.04,324,19.27,Sports Day,1,Minimal Waste,3.95,3.55,Windy,Consider changing the menu or improving food quality.
2024-07-11,Dinner,3156,3119,50.99,49.66,424,1.33,Sports Day,1,High Waste,7.96,3.09,Rainy,Reduce portion size by 10-20% for the next meal.
2024-02-05,Breakfast,1749,1732,88.14,48.37,288,39.77,Staff Meeting,4,Minimal Waste,7.98,6.45,Windy,Portion sizes seem optimal; continue as is.
2024-07-09,Breakfast,2422,2417,54.12,44.3,274,9.82,Sports Day,5,Minimal Waste,6.44,4.21,Cloudy,Increase portions slightly for high energy consumption.
2024-01-23,Lunch,2381,2403,86.79,71.7,346,15.09,Staff Meeting,4,High Waste,2.56,1.99,Rainy,Reduce portion size by 10-20% for the next meal.
2024-05-28,Breakfast,1141,1119,78.25,47.21,310,31.04,Holiday,4,Minimal Waste,5.86,4.73,Cloudy,Portion sizes seem optimal; continue as is.
2024-01-12,Lunch,2981,3028,58.35,52.07,327,6.28,Sports Day,1,Minimal Waste,7.8,7.03,Rainy,Consider changing the menu or improving food quality.
2024-05-06,Dinner,2668,2709,53.05,43.28,353,9.77,No Event,2,Moderate Waste,9.64,4.1,Windy,Consider changing the menu or improving food quality.
2024-05-27,Dinner,2519,2501,53.31,52.91,435,0.4,Staff Meeting,1,Minimal Waste,6.41,2.4,Rainy,Consider changing the menu or improving food quality.
2024-05-29,Dinner,3173,3180,99.37,52.02,425,47.35,Staff Meeting,3,High Waste,7.11,1.14,Rainy,Reduce portion size by 10-20% for the next meal.
2024-02-06,Dinner,3867,3903,85.11,51.76,342,33.35,No Event,3,Moderate Waste,4.58,1.49,Rainy,Consider offering warm food options.
2024-02-28,Lunch,2397,2366,65.41,62.8,363,2.61,Holiday,3,High Waste,1.09,0.55,Rainy,Reduce portion size by 10-20% for the next meal.
2024-04-08,Lunch,2724,2772,83.99,68.64,317,15.35,Sports Day,1,Minimal Waste,8.48,4.49,Sunny,Consider changing the menu or improving food quality.
2024-01-27,Breakfast,1176,1166,66.29,47.33,324,18.96,No Event,3,Minimal Waste,2.17,0.59,Windy,Portion sizes seem optimal; continue as is.
2024-08-22,Breakfast,1612,1658,59.72,49.09,277,10.63,No Event,4,Minimal Waste,9.0,6.39,Cloudy,Portion sizes seem optimal; continue as is.
2024-05-31,Breakfast,1944,1944,96.97,71.92,272,25.05,Sports Day,2,Minimal Waste,2.5,2.26,Cloudy,Consider changing the menu or improving food quality.
2024-06-19,Lunch,2466,2474,50.94,46.07,308,4.87,Staff Meeting,4,Moderate Waste,0.83,0.77,Windy,Portion sizes seem optimal; continue as is.
2024-02-29,Lunch,2163,2149,79.04,51.11,314,27.93,Holiday,5,High Waste,4.35,3.54,Sunny,Reduce portion size by 10-20% for the next meal.
2024-06-17,Breakfast,1040,996,62.49,59.8,271,2.69,Sports Day,3,Moderate Waste,1.04,0.75,Cloudy,Increase portions slightly for high energy consumption.
