Date,Weekday/Weekend,Holiday Flag,Meal Time,Meal Type,Expected Diners,Actual Diners,Food Prepared (kg),Food Consumed (kg),Portion Size (g),Meal Variability Score,Cost per Meal (INR),Total Meal Cost (INR),Food Waste (kg),Special Event,Satisfaction Score,Waste Feedback,Surplus Food (kg),Food Distributed (kg),Weather,Diner Age Group,Vegetarian Meal Ratio,Leftovers Feedback,Hygiene Rating,Previous Day Leftover Used,Diner Feedback,Feedback Sentiment,Food Shortage Flag,Leftover Repurposed Flag,Suggestions
2024-07-18,Weekday,No,Dinner,Regular,146,156,62.94,61.67,226,3,49.14,7665.84,1.27,Holiday,5,Moderate Waste,1.32,0.89,Sunny,Youth,0.52,Average,7,No,Needs improvement,Neutral,Yes,No,Portion sizes seem optimal; continue as is.
2024-09-23,Weekday,Yes,Breakfast,Special,215,216,31.99,31.64,272,4,46.3,10000.8,0.35,Staff Meeting,5,Moderate Waste,4.5,3.26,Cloudy,Adults,0.37,Good,8,No,Tasty but less,Positive,Yes,No,Portion sizes seem optimal; continue as is.
2024-02-08,Weekday,No,Lunch,Special,270,242,31.42,30.21,216,4,10.36,2507.12,1.21,Staff Meeting,3,Moderate Waste,4.36,2.9,Cloudy,Adults,0.28,Poor,9,No,Good food,Positive,No,Yes,Portion sizes seem optimal; continue as is.
2024-06-13,Weekday,Yes,Breakfast,Regular,105,124,31.14,28.72,243,1,43.58,5403.92,2.42,Sports Day,3,High Waste,2.13,1.26,Sunny,Youth,0.65,Poor,8,Yes,Needs improvement,Neutral,Yes,Yes,Reduce portion size by 10-20% for the next meal.
2024-11-08,Weekday,No,Breakfast,Special,196,183,37.36,28.94,267,3,12.6,2305.8,8.42,No Event,3,Moderate Waste,1.24,1.0,Rainy,Elderly,0.37,Average,9,No,Needs improvement,Neutral,No,No,Consider offering warm food options.
2024-01-18,Weekday,Yes,Lunch,Special,192,179,42.8,29.47,287,4,40.51,7251.29,13.33,Sports Day,5,Moderate Waste,4.88,4.08,Rainy,Adults,0.54,Average,10,No,Needs improvement,Neutral,No,No,Increase portions slightly for high energy consumption.
2024-03-19,Weekday,Yes,Breakfast,Special,188,162,49.69,43.15,208,3,41.74,6761.88,6.54,Staff Meeting,4,High Waste,0.7,0.24,Sunny,Elderly,0.31,Average,7,No,Good food,Positive,No,Yes,Reduce portion size by 10-20% for the next meal.
2024-09-26,Weekday,Yes,Lunch,Special,254,244,43.7,37.98,259,3,43.01,10494.44,5.72,No Event,5,Moderate Waste,0.43,0.36,Windy,Adults,0.33,Good,10,No,Average experience,Neutral,No,Yes,Portion sizes seem optimal; continue as is.
2024-02-10,Weekend,No,Lunch,Dietary,241,232,33.56,32.11,339,4,19.63,4554.16,1.45,Sports Day,3,High Waste,0.87,0.35,Rainy,Youth,0.47,Average,10,Yes,Good food,Positive,No,No,Reduce portion size by 10-20% for the next meal.
2024-03-22,Weekday,Yes,Breakfast,Special,267,252,67.15,25.27,241,1,11.4,2872.8,41.88,Sports Day,5,Minimal Waste,3.32,0.95,Sunny,Adults,0.45,Average,9,Yes,Needs improvement,Neutral,No,Yes,Increase portions slightly for high energy consumption.
2024-05-10,Weekday,No,Lunch,Regular,147,117,48.5,36.2,268,1,24.65,2884.05,12.3,Holiday,1,Minimal Waste,1.61,0.75,Sunny,Youth,0.26,Average,9,No,Average experience,Neutral,No,Yes,Consider changing the menu or improving food quality.
2024-08-24,Weekend,No,Breakfast,Dietary,176,159,61.94,25.98,300,4,44.69,7105.71,35.96,Staff Meeting,3,Moderate Waste,1.81,1.25,Cloudy,Adults,0.2,Good,10,No,Tasty but less,Positive,No,No,Portion sizes seem optimal; continue as is.
2024-05-06,Weekday,No,Breakfast,Dietary,231,249,49.89,37.76,288,3,16.93,4215.57,12.13,Staff Meeting,5,Minimal Waste,0.75,0.73,Rainy,Adults,0.78,Good,9,Yes,Needs improvement,Neutral,Yes,No,Consider offering warm food options.
2024-06-25,Weekday,Yes,Breakfast,Regular,225,238,31.72,25.8,210,5,25.31,6023.78,5.92,No Event,5,High Waste,4.07,2.25,Sunny,Elderly,0.21,Average,10,Yes,Tasty but less,Positive,Yes,Yes,Reduce portion size by 10-20% for the next meal.
2024-08-10,Weekend,No,Breakfast,Dietary,222,232,36.56,28.29,294,1,34.45,7992.4,8.27,Holiday,4,Moderate Waste,3.15,1.21,Cloudy,Elderly,0.41,Average,9,No,Tasty but less,Positive,Yes,Yes,Portion sizes seem optimal; continue as is.
2024-06-06,Weekday,No,Dinner,Dietary,221,209,40.43,39.32,244,1,14.58,3047.22,1.11,Sports Day,2,Minimal Waste,2.49,2.25,Windy,Elderly,0.62,Poor,10,No,Average experience,Neutral,No,Yes,Consider changing the menu or improving food quality.
2024-07-21,Weekend,No,Breakfast,Dietary,217,234,60.94,51.62,230,5,42.98,10057.32,9.32,Holiday,3,Moderate Waste,4.34,2.04,Windy,Youth,0.64,Average,7,Yes,Tasty but less,Positive,Yes,Yes,Portion sizes seem optimal; continue as is.
2024-09-12,Weekday,No,Dinner,Dietary,185,178,34.58,33.32,339,5,46.07,8200.46,1.26,Sports Day,2,Moderate Waste,3.35,0.8,Cloudy,Adults,0.75,Average,9,No,Average experience,Neutral,No,No,Consider changing the menu or improving food quality.
2024-06-20,Weekday,Yes,Breakfast,Dietary,244,231,46.06,31.35,329,2,39.72,9175.32,14.71,Sports Day,3,High Waste,1.64,0.47,Cloudy,Elderly,0.7,Average,10,No,Good food,Positive,No,No,Reduce portion size by 10-20% for the next meal.
2024-08-19,Weekday,Yes,Dinner,Regular,239,224,69.71,61.42,255,1,24.65,5521.6,8.29,Holiday,1,High Waste,0.44,0.21,Cloudy,Youth,0.75,Poor,8,No,Good food,Positive,No,Yes,Reduce portion size by 10-20% for the next meal.
2024-01-22,Weekday,No,Breakfast,Dietary,124,132,59.41,53.59,264,4,10.18,1343.76,5.82,No Event,3,High Waste,0.5,0.15,Windy,Elderly,0.78,Poor,10,No,Good food,Positive,Yes,Yes,Reduce portion size by 10-20% for the next meal.
2024-04-17,Weekday,Yes,Dinner,Regular,189,176,51.19,26.6,301,2,16.03,2821.28,24.59,No Event,1,Minimal Waste,2.83,1.28,Windy,Youth,0.78,Good,8,Yes,Good food,Positive,No,No,Consider changing the menu or improving food quality.
2024-05-02,Weekday,Yes,Breakfast,Dietary,126,114,30.99,28.17,239,1,45.14,5145.96,2.82,Sports Day,5,Moderate Waste,3.25,0.87,Windy,Youth,0.46,Good,8,Yes,Needs improvement,Neutral,No,No,Increase portions slightly for high energy consumption.
2024-06-15,Weekend,No,Dinner,Special,260,261,69.17,33.7,223,5,35.73,9325.53,35.47,Holiday,3,Moderate Waste,4.16,4.13,Cloudy,Adults,0.68,Good,10,Yes,Needs improvement,Neutral,Yes,No,Portion sizes seem optimal; continue as is.
2024-07-09,Weekday,No,Lunch,Special,148,135,31.32,25.43,280,5,29.93,4040.55,5.89,Staff Meeting,1,High Waste,1.04,0.35,Rainy,Adults,0.21,Average,9,Yes,Good food,Positive,No,No,Reduce portion size by 10-20% for the next meal.
2024-02-05,Weekday,Yes,Dinner,Special,257,247,44.96,29.33,201,3,25.0,6175.0,15.63,Holiday,5,Minimal Waste,1.06,1.02,Cloudy,Youth,0.65,Average,10,No,Needs improvement,Neutral,No,Yes,Portion sizes seem optimal; continue as is.
2024-08-18,Weekend,No,Breakfast,Regular,108,78,65.33,45.55,350,3,24.54,1914.12,19.78,No Event,5,Moderate Waste,4.7,1.67,Sunny,Elderly,0.28,Good,7,No,Tasty but less,Positive,No,Yes,Portion sizes seem optimal; continue as is.
2024-10-12,Weekend,No,Lunch,Special,264,262,58.4,32.5,270,3,33.3,8724.6,25.9,No Event,4,High Waste,0.88,0.16,Windy,Adults,0.27,Good,8,No,Average experience,Neutral,No,No,Reduce portion size by 10-20% for the next meal.
2024-01-24,Weekday,No,Breakfast,Regular,136,123,45.91,34.3,213,2,15.55,1912.65,11.61,Holiday,5,Moderate Waste,4.42,1.89,Rainy,Elderly,0.41,Good,10,Yes,Good food,Positive,No,No,Consider offering warm food options.
2024-02-18,Weekend,Yes,Breakfast,Dietary,144,141,66.48,38.49,261,4,29.29,4129.89,27.99,No Event,4,Minimal Waste,0.8,0.6,Rainy,Elderly,0.26,Average,10,No,Average experience,Neutral,No,Yes,Consider offering warm food options.
2024-05-23,Weekday,No,Dinner,Regular,132,137,33.17,31.21,255,5,31.25,4281.25,1.96,Staff Meeting,2,Minimal Waste,1.79,0.43,Cloudy,Adults,0.24,Good,9,Yes,Tasty but less,Positive,Yes,No,Consider changing the menu or improving food quality.
2024-06-13,Weekday,Yes,Lunch,Special,153,151,33.76,26.59,267,1,44.13,6663.63,7.17,Sports Day,5,Moderate Waste,2.66,2.37,Rainy,Elderly,0.73,Average,8,Yes,Good food,Positive,No,No,Increase portions slightly for high energy consumption.
2024-05-04,Weekend,Yes,Breakfast,Special,138,131,45.69,30.65,252,1,13.09,1714.79,15.04,Sports Day,2,Moderate Waste,3.9,1.56,Windy,Youth,0.6,Good,8,Yes,Good food,Positive,No,No,Consider changing the menu or improving food quality.
2024-06-28,Weekday,No,Dinner,Regular,154,126,45.27,33.92,310,4,47.17,5943.42,11.35,Sports Day,2,Minimal Waste,3.97,1.38,Rainy,Adults,0.32,Good,8,No,Good food,Positive,No,No,Consider changing the menu or improving food quality.
2024-04-19,Weekday,Yes,Breakfast,Special,228,219,65.36,32.91,237,5,43.61,9550.59,32.45,No Event,1,High Waste,4.3,3.32,Rainy,Youth,0.68,Good,10,Yes,Good food,Positive,No,No,Reduce portion size by 10-20% for the next meal.
2024-09-26,Weekday,No,Breakfast,Regular,138,153,63.96,36.77,276,4,39.21,5999.13,27.19,Sports Day,3,High Waste,4.62,0.55,Sunny,Youth,0.38,Good,10,No,Good food,Positive,Yes,Yes,Reduce portion size by 10-20% for the next meal.
2024-06-07,Weekday,No,Lunch,Dietary,157,135,49.29,26.25,274,4,43.91,5927.85,23.04,No Event,2,Moderate Waste,0.67,0.26,Windy,Elderly,0.53,Good,7,Yes,Needs improvement,Neutral,No,Yes,Consider changing the menu or improving food quality.
2024-07-24,Weekday,No,Breakfast,Regular,247,251,64.27,36.21,295,3,25.68,6445.68,28.06,No Event,4,High Waste,4.41,2.68,Windy,Youth,0.51,Poor,9,Yes,Tasty but less,Positive,Yes,No,Reduce portion size by 10-20% for the next meal.
2024-02-24,Weekend,Yes,Lunch,Dietary,133,119,65.27,31.16,200,4,41.96,4993.24,34.11,Sports Day,5,Moderate Waste,4.91,1.24,Windy,Adults,0.79,Average,10,Yes,Tasty but less,Positive,No,Yes,Increase portions slightly for high energy consumption.
2024-10-31,Weekday,Yes,Dinner,Dietary,119,139,55.0,29.83,273,4,11.64,1617.96,25.17,Staff Meeting,4,Minimal Waste,0.24,0.1,Sunny,Elderly,0.74,Average,9,Yes,Average experience,Neutral,Yes,Yes,Portion sizes seem optimal; continue as is.
2024-03-14,Weekday,No,Lunch,Special,204,176,45.14,29.91,258,3,12.87,2265.12,15.23,No Event,3,High Waste,0.91,0.1,Rainy,Elderly,0.39,Good,7,Yes,Average experience,Neutral,No,Yes,Reduce portion size by 10-20% for the next meal.
2024-03-08,Weekday,No,Dinner,Dietary,111,86,48.98,35.73,218,4,34.38,2956.68,13.25,Staff Meeting,2,High Waste,0.16,0.16,Windy,Youth,0.31,Poor,9,No,Tasty but less,Positive,No,No,Reduce portion size by 10-20% for the next meal.
2024-06-25,Weekday,Yes,Dinner,Special,254,249,45.16,34.42,244,3,27.78,6917.22,10.74,Sports Day,2,Minimal Waste,0.94,0.85,Rainy,Youth,0.23,Good,7,No,Good food,Positive,No,No,Consider changing the menu or improving food quality.
2024-02-06,Weekday,No,Dinner,Special,171,149,47.39,39.63,252,5,35.8,5334.2,7.76,Staff Meeting,2,Moderate Waste,3.09,2.44,Windy,Adults,0.55,Poor,9,No,Good food,Positive,No,No,Consider changing the menu or improving food quality.
2024-02-09,Weekday,No,Breakfast,Dietary,146,149,56.22,26.9,306,3,20.6,3069.4,29.32,Holiday,2,Minimal Waste,3.78,2.64,Cloudy,Elderly,0.75,Average,8,Yes,Average experience,Neutral,Yes,No,Consider changing the menu or improving food quality.
2024-09-21,Weekend,No,Lunch,Special,283,258,48.92,44.94,334,2,34.17,8815.86,3.98,No Event,4,Moderate Waste,0.84,0.51,Windy,Adults,0.46,Average,8,Yes,Good food,Positive,No,Yes,Portion sizes seem optimal; continue as is.
2024-10-16,Weekday,No,Lunch,Dietary,188,205,63.41,41.23,239,3,39.53,8103.65,22.18,Holiday,1,Minimal Waste,2.63,1.26,Windy,Elderly,0.28,Poor,7,No,Good food,Positive,Yes,Yes,Consider changing the menu or improving food quality.
2024-03-18,Weekday,Yes,Lunch,Regular,236,208,33.38,28.51,316,5,31.39,6529.12,4.87,Staff Meeting,4,Moderate Waste,0.99,0.22,Sunny,Youth,0.45,Average,10,No,Average experience,Neutral,No,No,Portion sizes seem optimal; continue as is.
2024-08-27,Weekday,No,Dinner,Special,192,186,34.85,26.5,264,5,33.84,6294.24,8.35,Staff Meeting,3,Moderate Waste,3.26,0.42,Sunny,Youth,0.63,Poor,9,No,Needs improvement,Neutral,No,Yes,Portion sizes seem optimal; continue as is.
2024-02-22,Weekday,No,Breakfast,Regular,155,135,56.86,51.56,241,1,14.01,1891.35,5.3,Staff Meeting,5,High Waste,0.39,0.11,Cloudy,Elderly,0.26,Average,10,Yes,Average experience,Neutral,No,No,Reduce portion size by 10-20% for the next meal.
2024-08-24,Weekend,Yes,Lunch,Dietary,138,112,47.26,30.71,348,1,34.05,3813.6,16.55,Holiday,1,Minimal Waste,0.22,0.2,Cloudy,Youth,0.55,Average,7,Yes,Needs improvement,Neutral,No,Yes,Consider changing the menu or improving food quality.
2024-06-17,Weekday,Yes,Breakfast,Regular,236,224,40.22,31.86,272,2,49.3,11043.2,8.36,Sports Day,3,High Waste,4.7,4.68,Rainy,Youth,0.51,Poor,9,Yes,Tasty but less,Positive,No,Yes,Reduce portion size by 10-20% for the next meal.
2024-10-09,Weekday,No,Breakfast,Dietary,126,121,56.68,49.49,259,1,41.46,5016.66,7.19,No Event,5,Moderate Waste,1.27,0.55,Sunny,Youth,0.36,Poor,10,Yes,Tasty but less,Positive,No,No,Portion sizes seem optimal; continue as is.
2024-05-26,Weekend,Yes,Lunch,Regular,169,175,63.97,58.58,308,3,24.65,4313.75,5.39,Staff Meeting,3,Moderate Waste,1.38,0.83,Rainy,Adults,0.41,Average,7,Yes,Average experience,Neutral,Yes,Yes,Consider offering warm food options.
2024-05-11,Weekend,No,Dinner,Regular,114,120,53.37,50.3,263,1,15.93,1911.6,3.07,Holiday,4,High Waste,2.71,0.48,Cloudy,Elderly,0.71,Good,7,Yes,Good food,Positive,Yes,Yes,Reduce portion size by 10-20% for the next meal.
2024-04-22,Weekday,No,Lunch,Regular,142,125,54.89,48.43,247,3,17.58,2197.5,6.46,Staff Meeting,3,Minimal Waste,0.89,0.79,Cloudy,Elderly,0.63,Average,10,No,Average experience,Neutral,No,No,Portion sizes seem optimal; continue as is.
2024-10-08,Weekday,No,Dinner,Special,208,218,51.78,27.8,277,4,20.86,4547.48,23.98,Holiday,5,High Waste,2.49,0.66,Sunny,Adults,0.35,Good,9,Yes,Tasty but less,Positive,Yes,No,Reduce portion size by 10-20% for the next meal.
2024-08-12,Weekday,Yes,Breakfast,Regular,245,265,66.78,56.58,274,2,39.03,10342.95,10.2,Sports Day,4,High Waste,0.77,0.63,Sunny,Elderly,0.46,Good,8,No,Tasty but less,Positive,Yes,Yes,Reduce portion size by 10-20% for the next meal.
2024-10-31,Weekday,No,Breakfast,Regular,139,140,55.67,38.44,286,2,33.46,4684.4,17.23,Holiday,4,High Waste,1.73,1.28,Rainy,Youth,0.44,Good,10,Yes,Average experience,Neutral,Yes,No,Reduce portion size by 10-20% for the next meal.
2024-07-31,Weekday,Yes,Breakfast,Regular,110,122,67.16,45.23,202,1,42.34,5165.48,21.93,Staff Meeting,1,Moderate Waste,2.78,0.57,Rainy,Elderly,0.77,Average,9,No,Average experience,Neutral,Yes,No,Consider changing the menu or improving food quality.
2024-04-18,Weekday,Yes,Breakfast,Dietary,222,210,55.99,40.94,247,5,47.44,9962.4,15.05,Sports Day,5,Minimal Waste,0.4,0.4,Windy,Adults,0.43,Good,8,No,Average experience,Neutral,No,Yes,Increase portions slightly for high energy consumption.
2024-10-08,Weekday,Yes,Lunch,Regular,160,139,37.35,36.51,333,4,26.74,3716.86,0.84,No Event,2,Minimal Waste,4.43,2.74,Sunny,Adults,0.72,Poor,7,Yes,Tasty but less,Positive,No,Yes,Consider changing the menu or improving food quality.
2024-09-26,Weekday,Yes,Breakfast,Special,275,263,57.12,46.16,212,2,23.15,6088.45,10.96,Staff Meeting,1,Minimal Waste,4.99,4.77,Windy,Elderly,0.34,Poor,7,Yes,Good food,Positive,No,Yes,Consider changing the menu or improving food quality.
2024-01-04,Weekday,No,Breakfast,Regular,247,242,55.99,53.2,329,4,48.69,11782.98,2.79,Sports Day,2,High Waste,0.13,0.12,Sunny,Adults,0.3,Average,10,No,Good food,Positive,No,Yes,Reduce portion size by 10-20% for the next meal.
2024-06-03,Weekday,No,Breakfast,Special,265,278,67.95,30.52,226,2,25.25,7019.5,37.43,Staff Meeting,4,High Waste,2.7,1.13,Rainy,Elderly,0.48,Poor,8,Yes,Tasty but less,Positive,Yes,No,Reduce portion size by 10-20% for the next meal.
2024-02-19,Weekday,No,Lunch,Special,237,248,66.49,37.78,281,4,24.58,6095.84,28.71,Staff Meeting,2,High Waste,0.58,0.43,Rainy,Youth,0.79,Poor,10,No,Tasty but less,Positive,Yes,Yes,Reduce portion size by 10-20% for the next meal.
2024-05-10,Weekday,Yes,Dinner,Dietary,215,230,60.43,52.38,209,2,48.28,11104.4,8.05,No Event,4,Moderate Waste,3.67,1.01,Sunny,Adults,0.31,Poor,9,Yes,Tasty but less,Positive,Yes,No,Portion sizes seem optimal; continue as is.
2024-09-28,Weekend,No,Dinner,Special,277,286,37.1,29.44,309,3,44.1,12612.6,7.66,No Event,1,Minimal Waste,4.78,4.4,Cloudy,Adults,0.32,Good,7,Yes,Good food,Positive,Yes,Yes,Consider changing the menu or improving food quality.
2024-04-02,Weekday,No,Breakfast,Special,146,159,35.97,34.05,221,4,27.94,4442.46,1.92,No Event,3,Moderate Waste,0.21,0.11,Cloudy,Adults,0.49,Poor,8,No,Tasty but less,Positive,Yes,No,Portion sizes seem optimal; continue as is.
2024-06-09,Weekend,No,Lunch,Special,156,150,65.07,35.01,246,3,21.32,3198.0,30.06,Holiday,1,Moderate Waste,3.66,3.46,Sunny,Youth,0.4,Average,10,No,Needs improvement,Neutral,No,Yes,Consider changing the menu or improving food quality.
2024-07-06,Weekend,Yes,Lunch,Regular,215,225,47.23,37.18,283,2,41.84,9414.0,10.05,Sports Day,4,Moderate Waste,4.73,2.24,Windy,Youth,0.45,Poor,7,No,Tasty but less,Positive,Yes,Yes,Increase portions slightly for high energy consumption.
2024-08-13,Weekday,Yes,Dinner,Dietary,208,191,64.45,36.58,251,1,41.42,7911.22,27.87,Sports Day,1,Moderate Waste,1.06,0.66,Rainy,Adults,0.76,Poor,9,No,Average experience,Neutral,No,No,Consider changing the menu or improving food quality.
2024-07-12,Weekday,No,Breakfast,Dietary,174,153,40.35,35.74,228,5,43.66,6679.98,4.61,Sports Day,2,High Waste,4.05,1.42,Rainy,Youth,0.39,Good,7,Yes,Tasty but less,Positive,No,Yes,Reduce portion size by 10-20% for the next meal.
2024-08-19,Weekday,No,Dinner,Dietary,208,214,55.16,51.7,264,3,34.08,7293.12,3.46,Sports Day,5,Moderate Waste,1.07,0.85,Rainy,Elderly,0.61,Average,7,Yes,Needs improvement,Neutral,Yes,No,Increase portions slightly for high energy consumption.
2024-04-19,Weekday,Yes,Dinner,Dietary,127,140,50.16,43.07,238,3,20.15,2821.0,7.09,Sports Day,3,Moderate Waste,2.07,1.39,Cloudy,Youth,0.39,Good,7,No,Tasty but less,Positive,Yes,No,Increase portions slightly for high energy consumption.
2024-01-02,Weekday,No,Lunch,Dietary,199,206,35.46,27.32,330,3,24.84,5117.04,8.14,Sports Day,2,Minimal Waste,1.06,0.74,Cloudy,Elderly,0.77,Poor,8,Yes,Average experience,Neutral,Yes,No,Consider changing the menu or improving food quality.
2024-06-25,Weekday,No,Dinner,Special,206,181,66.57,55.18,248,2,45.78,8286.18,11.39,Sports Day,5,Moderate Waste,0.63,0.3,Windy,Adults,0.46,Good,8,Yes,Average experience,Neutral,No,No,Increase portions slightly for high energy consumption.
